asset_id,categories,category_count,primary_category
ondo-finance,Decentralized Finance (DeFi);Ethereum Ecosystem;Real World Assets (RWA);Coinbase Ventures Portfolio;Pantera Capital Portfolio;GMCI DeFi Index;RWA Protocol;GMCI Index;World Liberty Financial Portfolio;Binance Alpha Spotlight;Made in USA,11,Decentralized Finance (DeFi)
uniswap,Decentralized Exchange (DEX);Exchange-based Tokens;Decentralized Finance (DeFi);Yield Farming;Automated Market Maker (AMM);BNB Chain Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Gnosis Chain Ecosystem;Harmony Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Paradigm Portfolio;Coinbase Ventures Portfolio;Index Coop Defi Index;Andreessen Horowitz (a16z) Portfolio;Energi Ecosystem;Sora Ecosystem;Huobi ECO Chain Ecosystem;GMCI DeFi Index;GMCI 30 Index;Blockchain Capital Portfolio;GMCI Index;Polychain Capital Portfolio;Made in USA;Unichain Ecosystem;Coinbase 50 Index,29,Decentralized Finance (DeFi)
dogecoin,Smart Contract Platform;Meme;Dog-Themed;Elon Musk-Inspired;Proof of Work (PoW);GMCI Meme Index;GMCI 30 Index;GMCI Index;Coinbase 50 Index;4chan-Themed,10,Meme
the-open-network,Smart Contract Platform;BNB Chain Ecosystem;Layer 1 (L1);Ethereum Ecosystem;Animoca Brands Portfolio;Alleged SEC Securities;DWF Labs Portfolio;TON Ecosystem;Proof of Stake (PoS);Pantera Capital Portfolio;GMCI Layer 1 Index;GMCI 30 Index;GMCI Index,13,Layer 1 (L1)
plume,Smart Contract Platform;Layer 1 (L1);Ethereum Ecosystem;Real World Assets (RWA);RWA Protocol;Made in USA;Plume Network Ecosystem,7,Layer 1 (L1)
my-neighbor-alice,Gaming (GameFi);NFT;BNB Chain Ecosystem;Binance Launchpool;Metaverse;DaoMaker Launchpad;Ethereum Ecosystem;Gaming Governance Token;Gaming Utility Token;Simulation Games;YZi Labs (Prev. Binance Labs) Portfolio,11,Gaming (GameFi)
alchemy-pay,BNB Chain Ecosystem;Ethereum Ecosystem;Payment Solutions;DWF Labs Portfolio,4,BNB Chain Ecosystem
maker,Decentralized Finance (DeFi);Lending/Borrowing Protocols;Avalanche Ecosystem;Polygon Ecosystem;Ethereum Ecosystem;Real World Assets (RWA);Paradigm Portfolio;Index Coop Defi Index;Stablecoin Protocol;DragonFly Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;Energi Ecosystem;Sora Ecosystem;GMCI DeFi Index;RWA Protocol;GMCI Index;Polychain Capital Portfolio;Made in USA;Coinbase 50 Index,19,Decentralized Finance (DeFi)
ether-fi,Decentralized Finance (DeFi);Binance Launchpool;Arbitrum Ecosystem;Ethereum Ecosystem;Restaking;Liquid Restaking Governance Tokens;Ether.fi Ecosystem;Consensys Portfolio;OKX Ventures Portfolio,9,Decentralized Finance (DeFi)
story-2,Artificial Intelligence (AI);Smart Contract Platform;Layer 1 (L1);Made in USA;Story Ecosystem,5,Layer 1 (L1)
pendle,Decentralized Exchange (DEX);Decentralized Finance (DeFi);Yield Farming;Automated Market Maker (AMM);BNB Chain Ecosystem;Derivatives;Lending/Borrowing Protocols;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Fixed Interest;LSDFi;Base Ecosystem;Restaking;LRTfi;Liquid Restaking Governance Tokens;Yield Tokenization Protocol;YZi Labs (Prev. Binance Labs) Portfolio;GMCI DeFi Index;Sonic Ecosystem;Liquid Staking;GMCI Index;BTCfi Protocol,23,Decentralized Finance (DeFi)
ai16z,Artificial Intelligence (AI);Solana Ecosystem;Meme;Solana Token-2022;AI Agents;Binance Alpha Spotlight;AI Framework;Made in USA,8,Meme
pudgy-penguins,Solana Ecosystem;Meme;Solana Meme;Binance HODLer Airdrops;Airdropped Tokens by NFT Projects;Abstract Ecosystem;Made in USA,7,Meme
monero,Smart Contract Platform;Privacy;Layer 1 (L1);Proof of Work (PoW);Galaxy Digital Portfolio,5,Layer 1 (L1)
multibit,BNB Chain Ecosystem;Polygon Ecosystem;Ethereum Ecosystem;BRC-20;Inscriptions,5,BNB Chain Ecosystem
zeus-network,Infrastructure;Solana Ecosystem;Animoca Brands Portfolio;Cross-chain Communication;OKX Ventures Portfolio,5,Infrastructure
verasity,Entertainment;Wallets;Ethereum Ecosystem;Binance Alpha Spotlight,4,Entertainment
eigenlayer,Infrastructure;Ethereum Ecosystem;Data Availability;Restaking;Polychain Capital Portfolio;Made in USA,6,Infrastructure
goatseus-maximus,Solana Ecosystem;Meme;Solana Meme;AI Meme;Pump.fun Ecosystem;Terminal of Truths;Binance Alpha Spotlight,7,Meme
shiba-inu,Meme;Ethereum Ecosystem;Animoca Brands Portfolio;Dog-Themed;GMCI Meme Index;GMCI 30 Index;GMCI Index;Coinbase 50 Index,8,Meme
snek,Meme;Cardano Ecosystem,2,Meme
yearn-finance,Decentralized Finance (DeFi);Yield Farming;Yield Aggregator;Yearn Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Gnosis Chain Ecosystem;Fantom Ecosystem;Harmony Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Base Ecosystem;Index Coop Defi Index;Alameda Research Portfolio;Energi Ecosystem;Sora Ecosystem;Huobi ECO Chain Ecosystem;Blockchain Capital Portfolio,20,Decentralized Finance (DeFi)
fantom,Infrastructure;Smart Contract Platform;Layer 1 (L1);Alameda Research Portfolio;GMCI Layer 1 Index;GMCI Index,6,Layer 1 (L1)
audius,Music;NFT;Ethereum Ecosystem;Coinbase Ventures Portfolio;Multicoin Capital Portfolio;Pantera Capital Portfolio;Energi Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio,8,NFT
omisego,Smart Contract Platform;Ethereum Ecosystem;Alleged SEC Securities;Pantera Capital Portfolio;Boba Network Ecosystem,5,Smart Contract Platform
acala,Smart Contract Platform;Decentralized Finance (DeFi);Polkadot Ecosystem;Layer 1 (L1);Coinbase Ventures Portfolio;Pantera Capital Portfolio,6,Decentralized Finance (DeFi)
kamino,Decentralized Finance (DeFi);Lending/Borrowing Protocols;Solana Ecosystem;Binance Alpha Spotlight,4,Decentralized Finance (DeFi)
bertram-the-pomeranian,Solana Ecosystem;Meme;Dog-Themed;Solana Meme;Pump.fun Ecosystem,5,Meme
mamo,Artificial Intelligence (AI);Base Ecosystem;AI Agents;DeFAI,4,Artificial Intelligence (AI)
coredaoorg,Smart Contract Platform;Layer 1 (L1);Bitcoin Sidechains;SideChain,4,Layer 1 (L1)
dog-go-to-the-moon-rune,Solana Ecosystem;Meme;Dog-Themed;Solana Meme;Starknet Ecosystem;Bitcoin Ecosystem;Runes,7,Meme
near,Artificial Intelligence (AI);Smart Contract Platform;Layer 1 (L1);Near Protocol Ecosystem;Ethereum Ecosystem;Alleged SEC Securities;FTX Holdings;Data Availability;Coinbase Ventures Portfolio;Multicoin Capital Portfolio;Proof of Stake (PoS);Alameda Research Portfolio;DragonFly Capital Portfolio;Pantera Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;GMCI Layer 1 Index;GMCI 30 Index;Circle Ventures Portfolio;GMCI Index;Made in USA;Coinbase 50 Index;Chain Abstraction,22,Layer 1 (L1)
cat-in-a-dogs-world,Solana Ecosystem;Meme;Dog-Themed;Solana Meme;Cat-Themed,5,Meme
ripple,FTX Holdings;Pantera Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;XRP Ledger Ecosystem;GMCI 30 Index;Blockchain Capital Portfolio;GMCI Index;Made in USA;Coinbase 50 Index,9,GMCI 30 Index
band-protocol,Business Services;Decentralized Finance (DeFi);Oracle;Fantom Ecosystem;Ethereum Ecosystem;Binance Launchpad;Osmosis Ecosystem;Energi Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;Sequoia Capital Portfolio,10,Decentralized Finance (DeFi)
orbit-3,Artificial Intelligence (AI);Solana Ecosystem;AI Agents;Pump.fun Ecosystem;Binance Alpha Spotlight;DeFAI,6,Artificial Intelligence (AI)
worldcoin-wld,Smart Contract Platform;Ethereum Ecosystem;Decentralized Identifier (DID);Optimism Ecosystem;Coinbase Ventures Portfolio;Multicoin Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;Blockchain Capital Portfolio;Optimism Superchain Ecosystem;World Chain Ecosystem;Made in USA,11,Smart Contract Platform
arbdoge-ai,Meme;Arbitrum Ecosystem;Dog-Themed;DWF Labs Portfolio;AI Meme,5,Meme
balancer,Decentralized Exchange (DEX);Exchange-based Tokens;Decentralized Finance (DeFi);Yield Farming;Automated Market Maker (AMM);Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Gnosis Chain Ecosystem;Harmony Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Base Ecosystem;Index Coop Defi Index;Alameda Research Portfolio;DeFiance Capital Portfolio;Pantera Capital Portfolio;Energi Ecosystem;Polygon zkEVM Ecosystem;Huobi ECO Chain Ecosystem;Blockchain Capital Portfolio,22,Decentralized Finance (DeFi)
secret,Artificial Intelligence (AI);Smart Contract Platform;Cosmos Ecosystem;Layer 1 (L1);Osmosis Ecosystem;Alameda Research Portfolio;DragonFly Capital Portfolio;DeFiance Capital Portfolio;Privacy Blockchain;Outlier Ventures Portfolio,10,DeFiance Capital Portfolio
radiant-capital,BNB Chain Ecosystem;Binance Launchpool;Lending/Borrowing Protocols;Arbitrum Ecosystem;Ethereum Ecosystem;Base Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio,7,BNB Chain Ecosystem
aethir,Solana Ecosystem;Arbitrum Ecosystem;Impossible Finance Launchpad;Ethereum Ecosystem;DePIN;Animoca Brands Portfolio,6,Solana Ecosystem
bittensor,Artificial Intelligence (AI);Smart Contract Platform;Layer 1 (L1);DePIN;Bittensor Ecosystem;Polychain Capital Portfolio,6,Layer 1 (L1)
pancakeswap-token,Decentralized Exchange (DEX);Exchange-based Tokens;Decentralized Finance (DeFi);Yield Farming;Automated Market Maker (AMM);BNB Chain Ecosystem;Solana Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Aptos Ecosystem;ZkSync Ecosystem;Linea Ecosystem;Base Ecosystem;Polygon zkEVM Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;opBNB Ecosystem;GMCI DeFi Index;GMCI Index,18,Decentralized Finance (DeFi)
aerodrome-finance,Decentralized Exchange (DEX);Decentralized Finance (DeFi);Automated Market Maker (AMM);Base Ecosystem;Binance Alpha Spotlight;Made in USA,6,Decentralized Finance (DeFi)
bitcoin-cash,Smart Contract Platform;Layer 1 (L1);Bitcoin Fork;Proof of Work (PoW);Coinbase 50 Index,5,Layer 1 (L1)
celestia,Smart Contract Platform;Cosmos Ecosystem;Layer 1 (L1);Data Availability;Modular Blockchain;Osmosis Ecosystem;eGirl Capital Portfolio;Coinbase Ventures Portfolio;Proof of Stake (PoS);Secret Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;Delphi Ventures Portfolio;Galaxy Digital Portfolio;Blockchain Capital Portfolio;OKX Ventures Portfolio;Polychain Capital Portfolio,16,Layer 1 (L1)
nunet,BNB Chain Ecosystem;Cardano Ecosystem;Ethereum Ecosystem;DePIN,4,BNB Chain Ecosystem
jupiter-exchange-solana,Decentralized Exchange (DEX);Decentralized Finance (DeFi);Solana Ecosystem;GMCI DeFi Index;Dex Aggregator;GMCI Index;Made in USA,7,Decentralized Finance (DeFi)
zebec-network,Decentralized Finance (DeFi);Solana Ecosystem;Real World Assets (RWA);Payment Solutions;DePIN;Coinbase Ventures Portfolio;Alameda Research Portfolio;Circle Ventures Portfolio;OKX Ventures Portfolio;RWA Protocol;Made in USA,11,Decentralized Finance (DeFi)
usd-coin,Stablecoins;USD Stablecoin;Solana Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Arbitrum Ecosystem;Celo Ecosystem;Ethereum Ecosystem;Algorand Ecosystem;Optimism Ecosystem;Aptos Ecosystem;ZkSync Ecosystem;Sui Ecosystem;Base Ecosystem;Tron Ecosystem;Hedera Ecosystem;Stellar Ecosystem;XRP Ledger Ecosystem;Sonic Ecosystem;Fiat-backed Stablecoin;Sei Network Ecosystem;World Chain Ecosystem;World Liberty Financial Portfolio;Made in USA;Unichain Ecosystem,26,Stablecoins
yield-guild-games,Gaming (GameFi);NFT;BNB Chain Ecosystem;Metaverse;Collectibles;Polygon Ecosystem;Play To Earn;Harmony Ecosystem;Guild and Scholarship;Ethereum Ecosystem;Animoca Brands Portfolio;Base Ecosystem;DWF Labs Portfolio;Ronin Ecosystem;Gaming Governance Token;Andreessen Horowitz (a16z) Portfolio;Delphi Ventures Portfolio;Abstract Ecosystem,18,Gaming (GameFi)
lido-dao,Infrastructure;Decentralized Finance (DeFi);Polygon Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Liquid Staking Governance Tokens;eGirl Capital Portfolio;Paradigm Portfolio;Coinbase Ventures Portfolio;Multicoin Capital Portfolio;Index Coop Defi Index;Alameda Research Portfolio;DragonFly Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;GMCI DeFi Index;Delphi Ventures Portfolio;Liquid Staking;GMCI Index;Coinbase 50 Index,20,Decentralized Finance (DeFi)
kyber-network-crystal,Decentralized Exchange (DEX);Decentralized Finance (DeFi);Automated Market Maker (AMM);BNB Chain Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Fantom Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;ZkSync Ecosystem;Linea Ecosystem;Pantera Capital Portfolio;Polygon zkEVM Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio,15,Decentralized Finance (DeFi)
official-trump,Solana Ecosystem;Meme;Solana Meme;PolitiFi;Made in USA,5,Meme
binancecoin,Smart Contract Platform;Exchange-based Tokens;BNB Chain Ecosystem;Centralized Exchange (CEX) Token;Layer 1 (L1);Ethereum Ecosystem;Alleged SEC Securities;FTX Holdings;Proof of Stake (PoS);GMCI Layer 1 Index;GMCI 30 Index;GMCI Index,12,Layer 1 (L1)
polkadot,Smart Contract Platform;Polkadot Ecosystem;Proof of Stake (PoS);Layer 0 (L0);Pantera Capital Portfolio;GMCI 30 Index;GMCI Index;Made in USA;Coinbase 50 Index,9,GMCI 30 Index
y,Artificial Intelligence (AI);Oracle;Analytics;Ethereum Ecosystem;Telegram Apps;AI Applications,6,Oracle
sui,Smart Contract Platform;Binance Launchpool;Layer 1 (L1);Sui Ecosystem;Coinbase Ventures Portfolio;Proof of Stake (PoS);Andreessen Horowitz (a16z) Portfolio;YZi Labs (Prev. Binance Labs) Portfolio;GMCI Layer 1 Index;Circle Ventures Portfolio;GMCI Index;Made in USA,12,Layer 1 (L1)
havven,Decentralized Exchange (DEX);Exchange-based Tokens;Decentralized Finance (DeFi);Yield Farming;Derivatives;Synthetic Issuer;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Fantom Ecosystem;Harmony Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Base Ecosystem;DWF Labs Portfolio;Paradigm Portfolio;Coinbase Ventures Portfolio;Index Coop Defi Index;Energi Ecosystem;Huobi ECO Chain Ecosystem;GMCI DeFi Index;Synthetic;GMCI Index;Coinbase 50 Index,24,Decentralized Finance (DeFi)
based-brett,Meme;Base Ecosystem;Frog-Themed;Base Meme;The Boy’s Club,5,Meme
alchemist-ai,Artificial Intelligence (AI);Solana Ecosystem;Pump.fun Ecosystem;AI Applications;Binance Alpha Spotlight,5,Artificial Intelligence (AI)
gains-network,Decentralized Finance (DeFi);Derivatives;Perpetuals;Polygon Ecosystem;Arbitrum Ecosystem;Base Ecosystem;ApeChain Ecosystem,7,Decentralized Finance (DeFi)
heyanon,Artificial Intelligence (AI);Decentralized Finance (DeFi);Solana Ecosystem;Avalanche Ecosystem;Arbitrum Ecosystem;Metis Ecosystem;AI Agents;Sonic Ecosystem;IOTA EVM Ecosystem;DeFAI,10,Decentralized Finance (DeFi)
dusk-network,Smart Contract Platform;BNB Chain Ecosystem;Layer 1 (L1);Ethereum Ecosystem;Zero Knowledge (ZK);Real World Assets (RWA);Energi Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;Privacy Blockchain,9,Layer 1 (L1)
cardano,Smart Contract Platform;Layer 1 (L1);Cardano Ecosystem;Alleged SEC Securities;Proof of Stake (PoS);GMCI Layer 1 Index;GMCI 30 Index;GMCI Index;Made in USA;Coinbase 50 Index,10,Layer 1 (L1)
kaspa,Smart Contract Platform;Layer 1 (L1);Proof of Work (PoW);Kaspa Ecosystem;Made in USA;Directed Acyclic Graph (DAG),6,Layer 1 (L1)
gigachad-2,Solana Ecosystem;Meme;Solana Meme;Murad Picks;4chan-Themed,5,Meme
kujira,Smart Contract Platform;Decentralized Finance (DeFi);BNB Chain Ecosystem;Layer 1 (L1);Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Osmosis Ecosystem;Secret Ecosystem,9,Decentralized Finance (DeFi)
frax-share,Decentralized Exchange (DEX);Decentralized Finance (DeFi);Yield Farming;Automated Market Maker (AMM);BNB Chain Ecosystem;Seigniorage;Solana Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Fantom Ecosystem;Harmony Ecosystem;Arbitrum Ecosystem;Moonriver Ecosystem;Ethereum Ecosystem;Liquid Staking Governance Tokens;Curve Ecosystem;Stablecoin Protocol;Polygon zkEVM Ecosystem;Evmos Ecosystem;GMCI DeFi Index;Liquid Staking;GMCI Index;Made in USA,23,Decentralized Finance (DeFi)
genesysgo-shadow,Storage;Solana Ecosystem;DePIN;Made in USA,4,Storage
compound-governance-token,Decentralized Finance (DeFi);Yield Farming;BNB Chain Ecosystem;Lending/Borrowing Protocols;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Harmony Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Base Ecosystem;Paradigm Portfolio;Index Coop Defi Index;Energi Ecosystem;Sora Ecosystem;Polychain Capital Portfolio;Made in USA,17,Decentralized Finance (DeFi)
mintlayer,Smart Contract Platform;Ethereum Ecosystem;Bitcoin Sidechains;SideChain,4,Smart Contract Platform
alpha-finance,Decentralized Finance (DeFi);Yield Farming;BNB Chain Ecosystem;Binance Launchpool;Yield Aggregator;Avalanche Ecosystem;Ethereum Ecosystem;Binance Launchpad;Multicoin Capital Portfolio;Alameda Research Portfolio;DeFiance Capital Portfolio;Energi Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;Delphi Ventures Portfolio,14,Decentralized Finance (DeFi)
akash-network,Artificial Intelligence (AI);Smart Contract Platform;DePIN;Osmosis Ecosystem;Proof of Stake (PoS);Archway Ecosystem;Made in USA,7,Artificial Intelligence (AI)
prometeus,Smart Contract Platform;BNB Chain Ecosystem;Ethereum Ecosystem;Layer 2 (L2),4,Layer 2 (L2)
turbo,Meme;Ethereum Ecosystem;Frog-Themed;AI Meme,4,Meme
harrypotterobamasonic10in,Meme;Ethereum Ecosystem;Base Ecosystem;Berachain Ecosystem;Murad Picks;Binance Alpha Spotlight;4chan-Themed,7,Meme
neon,Smart Contract Platform;Solana Ecosystem;Neon Ecosystem;Parallelized EVM,4,Smart Contract Platform
lisk,Smart Contract Platform;Ethereum Ecosystem;Layer 2 (L2);Optimism Superchain Ecosystem;Outlier Ventures Portfolio;Lisk Ecosystem,6,Layer 2 (L2)
badger-dao,Decentralized Finance (DeFi);Yield Farming;Yield Aggregator;Gnosis Chain Ecosystem;Fantom Ecosystem;Harmony Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Energi Ecosystem;Blockchain Capital Portfolio,10,Decentralized Finance (DeFi)
serum,Decentralized Exchange (DEX);Exchange-based Tokens;Decentralized Finance (DeFi);Solana Ecosystem;Ethereum Ecosystem;FTX Holdings;Multicoin Capital Portfolio;Energi Ecosystem;Viction Ecosystem,9,Decentralized Finance (DeFi)
new-xai-gork,Solana Ecosystem;Pump.fun Ecosystem,2,Solana Ecosystem
numeraire,Artificial Intelligence (AI);Business Services;Decentralized Finance (DeFi);Ethereum Ecosystem;Paradigm Portfolio;DragonFly Capital Portfolio;Energi Ecosystem,7,Decentralized Finance (DeFi)
fwog,Solana Ecosystem;Meme;Frog-Themed;Solana Meme;Pump.fun Ecosystem;Binance Alpha Spotlight,6,Meme
sturdy,Artificial Intelligence (AI);Decentralized Finance (DeFi);Lending/Borrowing Protocols;Ethereum Ecosystem;Pantera Capital Portfolio;Bittensor Ecosystem;Binance Alpha Spotlight;DeFAI,8,Decentralized Finance (DeFi)
arbitrum,Smart Contract Platform;Arbitrum Ecosystem;Ethereum Ecosystem;Arbitrum Nova Ecosystem;Layer 2 (L2);eGirl Capital Portfolio;Rollup;Alameda Research Portfolio;Pantera Capital Portfolio;GMCI Layer 2 Index;GMCI 30 Index;GMCI Index;Polychain Capital Portfolio;Made in USA,14,Layer 2 (L2)
gala,Smart Contract Platform;Gaming (GameFi);NFT;Layer 1 (L1);Play To Earn;Ethereum Ecosystem;DWF Labs Portfolio;Gaming Platform;YZi Labs (Prev. Binance Labs) Portfolio;GalaChain Ecosystem;Made in USA,11,Layer 1 (L1)
perpetual-protocol,Decentralized Exchange (DEX);Exchange-based Tokens;Decentralized Finance (DeFi);Automated Market Maker (AMM);BNB Chain Ecosystem;Derivatives;Perpetuals;Gnosis Chain Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Multicoin Capital Portfolio;Alameda Research Portfolio;YZi Labs (Prev. Binance Labs) Portfolio,14,Decentralized Finance (DeFi)
lagrange,Artificial Intelligence (AI);Ethereum Ecosystem;Zero Knowledge (ZK);Binance HODLer Airdrops;Binance Alpha Spotlight,5,Artificial Intelligence (AI)
arweave,Artificial Intelligence (AI);Smart Contract Platform;Storage;Layer 1 (L1);DePIN;Coinbase Ventures Portfolio;Multicoin Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;Blockchain Capital Portfolio,9,Layer 1 (L1)
matic-network,Smart Contract Platform;BNB Chain Ecosystem;Polygon Ecosystem;Harmony Ecosystem;Moonriver Ecosystem;Moonbeam Ecosystem;Ethereum Ecosystem;Layer 2 (L2);Zero Knowledge (ZK);Animoca Brands Portfolio;Alleged SEC Securities;Binance Launchpad;FTX Holdings;Coinbase Ventures Portfolio;Rollup;Proof of Stake (PoS);Alameda Research Portfolio;DragonFly Capital Portfolio;Energi Ecosystem;Sora Ecosystem;YZi Labs (Prev. Binance Labs) Portfolio;GMCI Layer 2 Index;GMCI 30 Index;Galaxy Digital Portfolio;GMCI Index;Coinbase 50 Index,26,Layer 2 (L2)
ethereum,Smart Contract Platform;Layer 1 (L1);Ethereum Ecosystem;FTX Holdings;Multicoin Capital Portfolio;Proof of Stake (PoS);Alameda Research Portfolio;Andreessen Horowitz (a16z) Portfolio;GMCI Layer 1 Index;GMCI 30 Index;Delphi Ventures Portfolio;Galaxy Digital Portfolio;GMCI Index;World Liberty Financial Portfolio;Coinbase 50 Index,15,Layer 1 (L1)
swarm,Ethereum Ecosystem,1,Ethereum Ecosystem
mog-coin,Meme;Ethereum Ecosystem;Base Ecosystem;Cat-Themed;Murad Picks;Binance Alpha Spotlight;4chan-Themed,7,Meme
apu-s-club,Meme;Ethereum Ecosystem;Frog-Themed;Murad Picks;Binance Alpha Spotlight;4chan-Themed,6,Meme
popcat,Solana Ecosystem;Meme;Solana Meme;Cat-Themed;Murad Picks,5,Meme
liquity,Decentralized Finance (DeFi);Lending/Borrowing Protocols;Arbitrum Ecosystem;Ethereum Ecosystem;Alameda Research Portfolio;Pantera Capital Portfolio,6,Decentralized Finance (DeFi)
neiro-3,Meme;Ethereum Ecosystem;Dog-Themed,3,Meme
terra-luna-2,Alleged SEC Securities;Osmosis Ecosystem;DeFiance Capital Portfolio;Pantera Capital Portfolio;YZi Labs (Prev. Binance Labs) Portfolio;Delphi Ventures Portfolio;Galaxy Digital Portfolio;OKX Ventures Portfolio,8,DeFiance Capital Portfolio
